Wall time,Step,Value
1747663127.6293335,1,917.5457763671875
1747663133.1833498,2,732.5596923828125
1747663138.6091497,3,720.6481323242188
1747663143.27261,4,714.43115234375
1747663147.9433744,5,708.93408203125
1747663152.6189501,6,636.6932983398438
1747663158.0980709,7,507.9263916015625
1747663163.7285035,8,447.238525390625
1747663169.5356283,9,407.37628173828125
1747663175.0650942,10,371.1785888671875
1747663180.6976416,11,342.6796569824219
1747663186.3994474,12,319.21142578125
1747663192.070703,13,300.6236267089844
1747663197.6744332,14,285.35491943359375
1747663203.2551594,15,272.17987060546875
1747663208.8965747,16,260.3363037109375
1747663214.4644327,17,249.7012939453125
1747663220.1208806,18,240.61929321289062
1747663225.5164108,19,232.1456756591797
1747663231.0938852,20,224.78004455566406
1747663236.6800094,21,217.98333740234375
1747663242.2549808,22,211.85585021972656
1747663247.7810385,23,206.6273193359375
1747663253.3665042,24,201.1129608154297
1747663258.9104357,25,196.50413513183594
1747663264.538138,26,191.74594116210938
1747663270.1634617,27,187.49411010742188
1747663275.508225,28,183.34454345703125
1747663281.1022487,29,179.61375427246094
1747663286.758469,30,176.42616271972656
1747663292.3739383,31,173.23684692382812
1747663297.8159854,32,170.5257568359375
1747663303.4332914,33,167.59251403808594
1747663309.1041288,34,165.12826538085938
1747663314.661943,35,162.28030395507812
1747663320.2420766,36,160.2381591796875
1747663325.7045107,37,157.88087463378906
1747663331.3545632,38,155.7534637451172
1747663337.040409,39,153.89170837402344
1747663342.6552641,40,151.87367248535156
